a_comp_1,a_comp_2,a_comp_3,a_frac_1,a_frac_2,a_frac_3,c_comp_1,c_comp_2,c_comp_3,c_frac_1,c_frac_2,c_frac_3,f_comp_1,f_comp_2,f_comp_3,f_comp_4,f_comp_5,f_frac_1,f_frac_2,f_frac_3,f_frac_4,f_frac_5,n_300,T,p_n,ZT
Sb,Sn,Te,11,0.2,0.8,Co,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,312.5237192,1,0.164852608
Sb,Sn,Te,11,0.2,0.8,Co,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,393.3586338,1,0.354421769
Sb,Sn,Te,11,0.2,0.8,Co,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,492.4098672,1,0.671201814
Sb,Sn,Te,11,0.2,0.8,Co,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,592.5996205,1,0.903174603
Sb,Sn,Te,11,0.2,0.8,Co,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,699.6204934,1,1.075283447
