num_anions,num_cations,num_fillers,aver_a_elecneg,dev_a_elecneg,aver_c_elecneg,dev_c_elecneg,aver_f_elecneg,dev_f_elecneg,aver_a_ip,dev_a_ip,aver_c_ip,dev_c_ip,aver_f_ip,dev_f_ip,aver_a_ea,dev_a_ea,aver_c_ea,dev_c_ea,aver_f_ea,dev_f_ea,f_mass,total_mass,std_dev_f_mass,std_dev_a_mass,std_dev_c_mass,std_dev_f_frac,std_dev_a_frac,std_dev_c_frac,sum_f_frac,sum_a_frac,sum_c_frac,ratio_a_c,total_val_e,n_300,T,p_n,ZT
1.0,2.0,1.0,2.05,0.0,1.8425,0.02165063509461089,1.12,0.0,8.608389,0.0,7.897103575,0.009291629858473543,5.5386,0.0,1.04740119,0.0,0.28049350500000003,0.22041587540717586,0.572,0.0,140.116,1827.7041940000001,0.0,0.0,2.18368291901961,0.0,0.0,1.4142135623730951,1.0,12.0,4.0,3.0,97.0,4.4e+21,400.0,0,0.283658291
1.0,2.0,1.0,2.05,0.0,1.8425,0.02165063509461089,1.12,0.0,8.608389,0.0,7.897103575,0.009291629858473543,5.5386,0.0,1.04740119,0.0,0.28049350500000003,0.22041587540717586,0.572,0.0,140.116,1827.7041940000001,0.0,0.0,2.18368291901961,0.0,0.0,1.4142135623730951,1.0,12.0,4.0,3.0,97.0,4.4e+21,500.0,0,0.434033154
1.0,2.0,1.0,2.05,0.0,1.8425,0.02165063509461089,1.12,0.0,8.608389,0.0,7.897103575,0.009291629858473543,5.5386,0.0,1.04740119,0.0,0.28049350500000003,0.22041587540717586,0.572,0.0,140.116,1827.7041940000001,0.0,0.0,2.18368291901961,0.0,0.0,1.4142135623730951,1.0,12.0,4.0,3.0,97.0,4.4e+21,600.0,0,0.605678233
1.0,2.0,1.0,2.05,0.0,1.8425,0.02165063509461089,1.12,0.0,8.608389,0.0,7.897103575,0.009291629858473543,5.5386,0.0,1.04740119,0.0,0.28049350500000003,0.22041587540717586,0.572,0.0,140.116,1827.7041940000001,0.0,0.0,2.18368291901961,0.0,0.0,1.4142135623730951,1.0,12.0,4.0,3.0,97.0,4.4e+21,700.0,0,0.795218601
1.0,2.0,1.0,2.05,0.0,1.8425,0.02165063509461089,1.12,0.0,8.608389,0.0,7.897103575,0.009291629858473543,5.5386,0.0,1.04740119,0.0,0.28049350500000003,0.22041587540717586,0.572,0.0,140.116,1827.7041940000001,0.0,0.0,2.18368291901961,0.0,0.0,1.4142135623730951,1.0,12.0,4.0,3.0,97.0,4.4e+21,800.0,0,0.864859574
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.0,0.0,8.608389,0.0,7.9024681,0.0,6.11315547,0.0,1.04740119,0.0,0.15323634,0.0,0.024551,0.0,39.27644,1733.5172400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.98,12.08,4.0,3.02,94.36,5.52e+21,300.0,0,0.147416622
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.0,0.0,8.608389,0.0,7.9024681,0.0,6.11315547,0.0,1.04740119,0.0,0.15323634,0.0,0.024551,0.0,39.27644,1733.5172400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.98,12.08,4.0,3.02,94.36,5.52e+21,400.0,0,0.231904503
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.0,0.0,8.608389,0.0,7.9024681,0.0,6.11315547,0.0,1.04740119,0.0,0.15323634,0.0,0.024551,0.0,39.27644,1733.5172400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.98,12.08,4.0,3.02,94.36,5.52e+21,500.0,0,0.327194399
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.0,0.0,8.608389,0.0,7.9024681,0.0,6.11315547,0.0,1.04740119,0.0,0.15323634,0.0,0.024551,0.0,39.27644,1733.5172400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.98,12.08,4.0,3.02,94.36,5.52e+21,600.0,0,0.425358915
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.0,0.0,8.608389,0.0,7.9024681,0.0,6.11315547,0.0,1.04740119,0.0,0.15323634,0.0,0.024551,0.0,39.27644,1733.5172400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.98,12.08,4.0,3.02,94.36,5.52e+21,700.0,0,0.519254531
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.0,0.0,8.608389,0.0,7.9024681,0.0,6.11315547,0.0,1.04740119,0.0,0.15323634,0.0,0.024551,0.0,39.27644,1733.5172400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.98,12.08,4.0,3.02,94.36,5.52e+21,800.0,0,0.595566194
1.0,1.0,1.0,2.05,0.0,1.83,0.0,0.95,0.0,8.608389,0.0,7.9024681,0.0,5.69486745,0.0,1.04740119,0.0,0.15323634,0.0,0.052066,0.0,82.3628,1776.6036,0.0,0.0,0.0,0.0,0.0,0.0,0.94,12.08,4.0,3.02,94.28,5.68e+21,300.0,0,0.129775545
